week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518400;24441549.282;20806655.278;20683248.243;22410208.003;22946035.089;20340508.498;22198631.248;23970597.123;24194750.863;
2134;518401;24440912.848;20806357.051;20683502.507;22409755.738;22945518.513;20340629.670;22198174.723;23971145.672;24195411.206;
2134;518402;24440277.282;20806056.758;20683755.221;22409311.594;22945007.602;20340748.572;22197720.213;23971694.969;24196073.500;
2134;518403;24439636.275;20805759.322;20684007.428;22408859.268;22944491.540;20340871.082;22197263.793;23972242.758;24196734.474;
2134;518404;24439000.760;20805463.332;20684262.312;22408410.888;22943979.791;20340992.993;22196808.013;23972791.572;24197394.338;
2134;518405;24438362.978;20805164.051;20684513.705;22407962.348;22943467.183;20341113.215;22196350.159;23973339.339;24198057.312;
2134;518406;24437725.166;20804866.414;20684770.483;22407514.379;22942952.751;20341233.421;22195895.360;23973888.813;24198713.472;
2134;518407;24437088.523;20804569.440;20685020.617;22407063.942;22942438.606;20341355.484;22195439.323;23974435.452;24199375.633;
2134;518408;24436452.359;20804269.684;20685277.719;22406614.537;22941925.682;20341478.115;22194982.977;23974984.648;24200037.496;
2134;518409;24435815.223;20803972.358;20685530.322;22406168.877;22941410.693;20341600.343;22194525.322;23975532.581;24200697.859;
2134;518410;24435176.569;20803675.294;20685786.044;22405719.035;22940898.641;20341721.518;22194071.318;23976080.249;24201359.280;
2134;518411;24434540.055;20803375.816;20686039.111;22405271.897;22940388.402;20341843.595;22193614.272;23976630.142;24202020.587;
2134;518412;24433901.113;20803079.835;20686293.460;22404822.997;22939874.947;20341965.276;22193159.198;23977179.023;24202681.712;
2134;518413;24433266.700;20802781.361;20686549.250;22404374.730;22939361.412;20342087.603;22192703.663;23977727.202;24203342.327;
2134;518414;24432626.967;20802484.634;20686804.103;22403925.057;22938846.720;20342208.402;22192246.439;23978275.660;24204003.885;
2134;518415;24431990.722;20802185.939;20687058.122;22403477.775;22938337.562;20342329.965;22191794.151;23978824.803;24204663.345;
2134;518416;24431351.562;20801890.635;20687312.174;22403030.164;22937822.480;20342453.898;22191337.258;23979371.628;24205325.614;
2134;518417;24430714.873;20801592.294;20687567.673;22402579.523;22937310.176;20342576.832;22190881.372;23979922.755;24205985.680;
2134;518418;24430077.045;20801295.296;20687824.408;22402133.537;22936795.632;20342698.135;22190426.438;23980468.841;24206648.113;
2134;518419;24429438.047;20800998.489;20688078.468;22401685.598;22936285.645;20342822.123;22189970.369;23981018.732;24207307.597;
2134;518420;24428803.135;20800702.729;20688335.375;22401237.262;22935773.073;20342944.979;22189514.188;23981566.441;24207968.952;
2134;518421;24428165.781;20800406.723;20688588.376;22400789.683;22935259.306;20343067.385;22189060.011;23982116.405;24208628.951;
2134;518422;24427529.889;20800106.839;20688844.680;22400342.872;22934747.861;20343192.064;22188605.347;23982665.312;24209290.329;
2134;518423;24426891.943;20799813.092;20689100.250;22399894.066;22934238.129;20343314.070;22188146.979;23983214.036;24209951.887;
2134;518424;24426252.842;20799516.639;20689355.185;22399447.928;22933724.499;20343435.747;22187692.016;23983761.328;24210613.605;
2134;518425;24425617.476;20799220.559;20689612.596;22399001.231;22933212.343;20343561.504;22187237.052;23984311.001;24211272.731;
2134;518426;24424979.515;20798923.450;20689869.310;22398553.047;22932698.567;20343683.218;22186781.775;23984859.197;24211934.127;
2134;518427;24424340.951;20798625.626;20690123.580;22398106.200;22932188.120;20343807.474;22186326.915;23985407.843;24212597.524;
2134;518428;24423706.860;20798331.402;20690380.487;22397657.203;22931676.343;20343932.108;22185873.059;23985955.814;24213255.745;
2134;518429;24423066.578;20798034.330;20690636.525;22397209.202;22931164.271;20344055.239;22185417.559;23986506.957;24213919.479;
2134;518430;24422430.373;20797738.385;20690893.121;22396764.769;22930650.359;20344181.299;22184964.453;23987053.854;24214578.688;
2134;518431;24421794.462;20797443.039;20691148.005;22396316.424;22930138.750;20344303.874;22184507.413;23987602.713;24215241.964;
2134;518432;24421156.912;20797144.963;20691405.487;22395870.501;22929627.669;20344427.151;22184051.955;23988152.595;24215901.877;
2134;518433;24420517.593;20796850.471;20691662.023;22395423.933;22929117.376;20344551.793;22183597.399;23988700.208;24216563.255;
