week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518400;-2.539291207066e+03;-7.369404079459e+04;9.866790868576e+04;1.576162496220e+05;3.215548899888e+04;2.810281108058e+03;-8.391075898714e+03;-7.485187086239e+04;-2.565956540323e+04;
2134;518401;-2.539293449114e+03;-7.369404291562e+04;9.866790993772e+04;1.576162500678e+05;3.215549010632e+04;2.810283151449e+03;-8.391079202623e+03;-7.485187325476e+04;-2.565956513982e+04;
2134;518402;-2.539295691096e+03;-7.369404503650e+04;9.866791118965e+04;1.576162505136e+05;3.215549121376e+04;2.810285194907e+03;-8.391082506505e+03;-7.485187564712e+04;-2.565956487643e+04;
2134;518403;-2.539297933011e+03;-7.369404715721e+04;9.866791244157e+04;1.576162509593e+05;3.215549232117e+04;2.810287238433e+03;-8.391085810361e+03;-7.485187803949e+04;-2.565956461304e+04;
2134;518404;-2.539300174860e+03;-7.369404927777e+04;9.866791369348e+04;1.576162514050e+05;3.215549342858e+04;2.810289282026e+03;-8.391089114189e+03;-7.485188043184e+04;-2.565956434967e+04;
2134;518405;-2.539302416643e+03;-7.369405139816e+04;9.866791494536e+04;1.576162518506e+05;3.215549453596e+04;2.810291325687e+03;-8.391092417991e+03;-7.485188282420e+04;-2.565956408632e+04;
2134;518406;-2.539304658359e+03;-7.369405351841e+04;9.866791619723e+04;1.576162522962e+05;3.215549564334e+04;2.810293369415e+03;-8.391095721765e+03;-7.485188521654e+04;-2.565956382298e+04;
2134;518407;-2.539306900009e+03;-7.369405563849e+04;9.866791744908e+04;1.576162527417e+05;3.215549675070e+04;2.810295413210e+03;-8.391099025513e+03;-7.485188760889e+04;-2.565956355965e+04;
2134;518408;-2.539309141592e+03;-7.369405775841e+04;9.866791870092e+04;1.576162531872e+05;3.215549785805e+04;2.810297457073e+03;-8.391102329234e+03;-7.485189000123e+04;-2.565956329633e+04;
2134;518409;-2.539311383109e+03;-7.369405987818e+04;9.866791995274e+04;1.576162536326e+05;3.215549896538e+04;2.810299501003e+03;-8.391105632927e+03;-7.485189239356e+04;-2.565956303303e+04;
2134;518410;-2.539313624560e+03;-7.369406199779e+04;9.866792120454e+04;1.576162540780e+05;3.215550007269e+04;2.810301545001e+03;-8.391108936594e+03;-7.485189478589e+04;-2.565956276974e+04;
2134;518411;-2.539315865945e+03;-7.369406411724e+04;9.866792245633e+04;1.576162545233e+05;3.215550118000e+04;2.810303589066e+03;-8.391112240234e+03;-7.485189717822e+04;-2.565956250647e+04;
2134;518412;-2.539318107263e+03;-7.369406623654e+04;9.866792370810e+04;1.576162549686e+05;3.215550228729e+04;2.810305633198e+03;-8.391115543847e+03;-7.485189957054e+04;-2.565956224320e+04;
2134;518413;-2.539320348515e+03;-7.369406835567e+04;9.866792495985e+04;1.576162554138e+05;3.215550339456e+04;2.810307677398e+03;-8.391118847432e+03;-7.485190196286e+04;-2.565956197996e+04;
2134;518414;-2.539322589700e+03;-7.369407047465e+04;9.866792621159e+04;1.576162558590e+05;3.215550450182e+04;2.810309721665e+03;-8.391122150991e+03;-7.485190435517e+04;-2.565956171672e+04;
2134;518415;-2.539324830819e+03;-7.369407259347e+04;9.866792746331e+04;1.576162563042e+05;3.215550560907e+04;2.810311765999e+03;-8.391125454522e+03;-7.485190674747e+04;-2.565956145350e+04;
2134;518416;-2.539327071872e+03;-7.369407471213e+04;9.866792871501e+04;1.576162567493e+05;3.215550671630e+04;2.810313810401e+03;-8.391128758027e+03;-7.485190913978e+04;-2.565956119029e+04;
2134;518417;-2.539329312859e+03;-7.369407683063e+04;9.866792996669e+04;1.576162571943e+05;3.215550782352e+04;2.810315854870e+03;-8.391132061504e+03;-7.485191153208e+04;-2.565956092710e+04;
2134;518418;-2.539331553779e+03;-7.369407894898e+04;9.866793121836e+04;1.576162576393e+05;3.215550893072e+04;2.810317899406e+03;-8.391135364954e+03;-7.485191392437e+04;-2.565956066392e+04;
2134;518419;-2.539333794633e+03;-7.369408106717e+04;9.866793247002e+04;1.576162580842e+05;3.215551003791e+04;2.810319944010e+03;-8.391138668377e+03;-7.485191631666e+04;-2.565956040075e+04;
2134;518420;-2.539336035421e+03;-7.369408318520e+04;9.866793372165e+04;1.576162585291e+05;3.215551114509e+04;2.810321988681e+03;-8.391141971773e+03;-7.485191870894e+04;-2.565956013760e+04;
2134;518421;-2.539338276143e+03;-7.369408530307e+04;9.866793497327e+04;1.576162589740e+05;3.215551225225e+04;2.810324033419e+03;-8.391145275142e+03;-7.485192110122e+04;-2.565955987446e+04;
2134;518422;-2.539340516798e+03;-7.369408742078e+04;9.866793622487e+04;1.576162594188e+05;3.215551335939e+04;2.810326078225e+03;-8.391148578483e+03;-7.485192349350e+04;-2.565955961134e+04;
2134;518423;-2.539342757387e+03;-7.369408953834e+04;9.866793747646e+04;1.576162598635e+05;3.215551446653e+04;2.810328123098e+03;-8.391151881797e+03;-7.485192588577e+04;-2.565955934822e+04;
2134;518424;-2.539344997910e+03;-7.369409165574e+04;9.866793872803e+04;1.576162603082e+05;3.215551557365e+04;2.810330168038e+03;-8.391155185084e+03;-7.485192827804e+04;-2.565955908513e+04;
2134;518425;-2.539347238367e+03;-7.369409377298e+04;9.866793997958e+04;1.576162607529e+05;3.215551668075e+04;2.810332213046e+03;-8.391158488344e+03;-7.485193067030e+04;-2.565955882204e+04;
2134;518426;-2.539349478757e+03;-7.369409589006e+04;9.866794123111e+04;1.576162611975e+05;3.215551778784e+04;2.810334258121e+03;-8.391161791576e+03;-7.485193306255e+04;-2.565955855897e+04;
2134;518427;-2.539351719081e+03;-7.369409800698e+04;9.866794248263e+04;1.576162616421e+05;3.215551889491e+04;2.810336303263e+03;-8.391165094781e+03;-7.485193545481e+04;-2.565955829591e+04;
2134;518428;-2.539353959339e+03;-7.369410012375e+04;9.866794373413e+04;1.576162620866e+05;3.215552000198e+04;2.810338348472e+03;-8.391168397959e+03;-7.485193784706e+04;-2.565955803287e+04;
2134;518429;-2.539356199531e+03;-7.369410224036e+04;9.866794498562e+04;1.576162625311e+05;3.215552110902e+04;2.810340393749e+03;-8.391171701109e+03;-7.485194023930e+04;-2.565955776984e+04;
2134;518430;-2.539358439657e+03;-7.369410435681e+04;9.866794623709e+04;1.576162629755e+05;3.215552221605e+04;2.810342439093e+03;-8.391175004232e+03;-7.485194263154e+04;-2.565955750683e+04;
2134;518431;-2.539360679717e+03;-7.369410647310e+04;9.866794748854e+04;1.576162634198e+05;3.215552332307e+04;2.810344484504e+03;-8.391178307328e+03;-7.485194502377e+04;-2.565955724383e+04;
2134;518432;-2.539362919710e+03;-7.369410858923e+04;9.866794873997e+04;1.576162638642e+05;3.215552443008e+04;2.810346529983e+03;-8.391181610396e+03;-7.485194741600e+04;-2.565955698084e+04;
2134;518433;-2.539365159637e+03;-7.369411070521e+04;9.866794999139e+04;1.576162643084e+05;3.215552553707e+04;2.810348575528e+03;-8.391184913437e+03;-7.485194980823e+04;-2.565955671786e+04;
2134;518434;-2.539367399498e+03;-7.369411282102e+04;9.866795124279e+04;1.576162647527e+05;3.215552664404e+04;2.810350621141e+03;-8.391188216450e+03;-7.485195220045e+04;-2.565955645490e+04;
