week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518400;23351812.6924;13331801.3145;14699588.2505;21159230.1585;20629142.4937;21461971.0647;12195626.2253;5305380.9664;25405897.2296;
2134;518401;23352431.0967;13333874.7420;14697259.5975;21158498.9168;20628692.5458;21463520.3901;12195614.8190;5304916.8976;25405240.0401;
2134;518402;23353049.2401;13335948.2205;14694930.8683;21157767.3416;20628242.2724;21465069.5643;12195603.5016;5304452.9887;25404582.5390;
2134;518403;23353667.1227;13338021.7498;14692602.0630;21157035.4328;20627791.6737;21466618.5874;12195592.2732;5303989.2398;25403924.7264;
2134;518404;23354284.7444;13340095.3299;14690273.1817;21156303.1904;20627340.7495;21468167.4591;12195581.1338;5303525.6509;25403266.6022;
2134;518405;23354902.1051;13342168.9607;14687944.2244;21155570.6143;20626889.4999;21469716.1796;12195570.0834;5303062.2218;25402608.1666;
2134;518406;23355519.2048;13344242.6422;14685615.1911;21154837.7047;20626437.9249;21471264.7487;12195559.1222;5302598.9526;25401949.4195;
2134;518407;23356136.0434;13346316.3743;14683286.0820;21154104.4615;20625986.0243;21472813.1663;12195548.2501;5302135.8432;25401290.3610;
2134;518408;23356752.6209;13348390.1570;14680956.8972;21153370.8846;20625533.7983;21474361.4324;12195537.4672;5301672.8936;25400630.9912;
2134;518409;23357368.9373;13350463.9902;14678627.6366;21152636.9741;20625081.2467;21475909.5470;12195526.7735;5301210.1038;25399971.3100;
2134;518410;23357984.9925;13352537.8738;14676298.3003;21151902.7300;20624628.3696;21477457.5099;12195516.1691;5300747.4737;25399311.3176;
2134;518411;23358600.7864;13354611.8079;14673968.8885;21151168.1522;20624175.1668;21479005.3212;12195505.6540;5300285.0032;25398651.0138;
2134;518412;23359216.3191;13356685.7922;14671639.4012;21150433.2408;20623721.6385;21480552.9808;12195495.2283;5299822.6925;25397990.3989;
2134;518413;23359831.5904;13358759.8269;14669309.8383;21149697.9956;20623267.7846;21482100.4886;12195484.8920;5299360.5413;25397329.4727;
2134;518414;23360446.6003;13360833.9117;14666980.2001;21148962.4168;20622813.6050;21483647.8445;12195474.6451;5298898.5497;25396668.2354;
2134;518415;23361061.3488;13362908.0467;14664650.4866;21148226.5044;20622359.0998;21485195.0485;12195464.4877;5298436.7177;25396006.6870;
