week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518400;10657585.9969;-7661424.3509;8979758.0985;15444472.5301;16515650.1842;584185.0302;-17630628.5511;22116792.0063;-5582999.0470;
2134;518401;10658310.3610;-7659586.2302;8980841.5946;15444456.2423;16515671.8564;585471.2208;-17628639.1373;22118472.8195;-5582463.7407;
2134;518402;10659034.4677;-7657748.2872;8981925.2871;15444439.8194;16515693.3312;586757.1762;-17626649.4309;22120153.3455;-5581928.2530;
2134;518403;10659758.3170;-7655910.5220;8983009.1761;15444423.2614;16515714.6086;588042.8965;-17624659.4321;22121833.5843;-5581392.5837;
2134;518404;10660481.9089;-7654072.9344;8984093.2617;15444406.5685;16515735.6888;589328.3815;-17622669.1408;22123513.5357;-5580856.7329;
2134;518405;10661205.2435;-7652235.5246;8985177.5437;15444389.7407;16515756.5717;590613.6314;-17620678.5571;22125193.1997;-5580320.7005;
2134;518406;10661928.3207;-7650398.2926;8986262.0222;15444372.7780;16515777.2575;591898.6461;-17618687.6810;22126872.5763;-5579784.4864;
2134;518407;10662651.1407;-7648561.2385;8987346.6972;15444355.6804;16515797.7461;593183.4256;-17616696.5126;22128551.6654;-5579248.0906;
2134;518408;10663373.7034;-7646724.3622;8988431.5686;15444338.4481;16515818.0376;594467.9700;-17614705.0520;22130230.4670;-5578711.5131;
2134;518409;10664096.0089;-7644887.6639;8989516.6365;15444321.0810;16515838.1320;595752.2792;-17612713.2991;22131908.9810;-5578174.7539;
2134;518410;10664818.0572;-7643051.1435;8990601.9008;15444303.5793;16515858.0295;597036.3532;-17610721.2541;22133587.2074;-5577637.8128;
2134;518411;10665539.8483;-7641214.8011;8991687.3616;15444285.9429;16515877.7300;598320.1920;-17608728.9170;22135265.1461;-5577100.6900;
2134;518412;10666261.3822;-7639378.6367;8992773.0189;15444268.1719;16515897.2336;599603.7957;-17606736.2878;22136942.7970;-5576563.3852;
2134;518413;10666982.6591;-7637542.6505;8993858.8726;15444250.2664;16515916.5403;600887.1642;-17604743.3665;22138620.1602;-5576025.8986;
2134;518414;10667703.6788;-7635706.8423;8994944.9227;15444232.2263;16515935.6503;602170.2976;-17602750.1533;22140297.2356;-5575488.2300;
2134;518415;10668424.4415;-7633871.2122;8996031.1692;15444214.0519;16515954.5634;603453.1958;-17600756.6481;22141974.0230;-5574950.3794;
2134;518416;10669144.9471;-7632035.7604;8997117.6122;15444195.7430;16515973.2798;604735.8589;-17598762.8510;22143650.5226;-5574412.3469;
2134;518417;10669865.1957;-7630200.4868;8998204.2515;15444177.2998;16515991.7996;606018.2868;-17596768.7621;22145326.7342;-5573874.1322;
2134;518418;10670585.1874;-7628365.3914;8999291.0873;15444158.7223;16516010.1228;607300.4795;-17594774.3814;22147002.6577;-5573335.7355;
2134;518419;10671304.9220;-7626530.4744;9000378.1195;15444140.0105;16516028.2493;608582.4371;-17592779.7090;22148678.2931;-5572797.1567;
2134;518420;10672024.3998;-7624695.7356;9001465.3480;15444121.1645;16516046.1793;609864.1596;-17590784.7448;22150353.6405;-5572258.3956;
2134;518421;10672743.6206;-7622861.1753;9002552.7729;15444102.1844;16516063.9129;611145.6469;-17588789.4889;22152028.6996;-5571719.4524;
2134;518422;10673462.5846;-7621026.7934;9003640.3943;15444083.0702;16516081.4500;612426.8990;-17586793.9415;22153703.4705;-5571180.3270;
