week;tow;PRN10;PRN16;PRN18;PRN20;PRN23;PRN26;PRN27;PRN29;PRN31;
2134;518400;-7244104.6358;21487590.8675;20226028.9834;5101410.2059;2798474.8711;15759203.9682;15299068.0441;13644303.1245;-6545942.2597;
2134;518401;-7241110.2560;21487010.5608;20227234.2314;5104424.0768;2801625.7187;15757076.5194;15301381.3272;13641761.2118;-6548933.8553;
2134;518402;-7238115.7240;21486429.7899;20228439.0494;5107437.8406;2804776.5067;15754948.7381;15303694.2764;13639219.0075;-6551925.3156;
2134;518403;-7235121.0399;21485848.5546;20229643.4374;5110451.4973;2807927.2352;15752820.6243;15306006.8916;13636676.5119;-6554916.6405;
2134;518404;-7232126.2038;21485266.8552;20230847.3954;5113465.0468;2811077.9040;15750692.1781;15308319.1729;13634133.7249;-6557907.8300;
2134;518405;-7229131.2157;21484684.6915;20232050.9233;5116478.4891;2814228.5131;15748563.3995;15310631.1201;13631590.6465;-6560898.8840;
2134;518406;-7226136.0757;21484102.0636;20233254.0212;5119491.8240;2817379.0623;15746434.2886;15312942.7331;13629047.2769;-6563889.8025;
2134;518407;-7223140.7839;21483518.9715;20234456.6889;5122505.0516;2820529.5518;15744304.8454;15315254.0120;13626503.6161;-6566880.5853;
2134;518408;-7220145.3403;21482935.4152;20235658.9265;5125518.1717;2823679.9813;15742175.0699;15317564.9567;13623959.6642;-6569871.2325;
2134;518409;-7217149.7449;21482351.3947;20236860.7339;5128531.1844;2826830.3508;15740044.9623;15319875.5672;13621415.4211;-6572861.7440;
2134;518410;-7214153.9979;21481766.9101;20238062.1111;5131544.0895;2829980.6602;15737914.5225;15322185.8433;13618870.8870;-6575852.1196;
2134;518411;-7211158.0993;21481181.9613;20239263.0582;5134556.8869;2833130.9096;15735783.7506;15324495.7850;13616326.0619;-6578842.3594;
2134;518412;-7208162.0491;21480596.5484;20240463.5749;5137569.5767;2836281.0987;15733652.6466;15326805.3924;13613780.9459;-6581832.4633;
2134;518413;-7205165.8475;21480010.6714;20241663.6615;5140582.1587;2839431.2276;15731521.2107;15329114.6653;13611235.5390;-6584822.4312;
2134;518414;-7202169.4945;21479424.3302;20242863.3177;5143594.6329;2842581.2961;15729389.4427;15331423.6037;13608689.8412;-6587812.2631;
2134;518415;-7199172.9901;21478837.5250;20244062.5436;5146606.9992;2845731.3042;15727257.3429;15333732.2075;13606143.8527;-6590801.9588;
2134;518416;-7196176.3344;21478250.2558;20245261.3392;5149619.2575;2848881.2519;15725124.9111;15336040.4767;13603597.5735;-6593791.5184;
2134;518417;-7193179.5276;21477662.5224;20246459.7044;5152631.4079;2852031.1391;15722992.1476;15338348.4112;13601051.0036;-6596780.9418;
2134;518418;-7190182.5695;21477074.3251;20247657.6392;5155643.4501;2855180.9657;15720859.0523;15340656.0111;13598504.1431;-6599770.2289;
2134;518419;-7187185.4604;21476485.6637;20248855.1436;5158655.3843;2858330.7316;15718725.6252;15342963.2761;13595956.9920;-6602759.3796;
2134;518420;-7184188.2003;21475896.5383;20250052.2175;5161667.2102;2861480.4367;15716591.8664;15345270.2064;13593409.5505;-6605748.3939;
2134;518421;-7181190.7892;21475306.9489;20251248.8610;5164678.9279;2864630.0811;15714457.7760;15347576.8018;13590861.8184;-6608737.2718;
2134;518422;-7178193.2272;21474716.8955;20252445.0740;5167690.5373;2867779.6646;15712323.3540;15349883.0623;13588313.7960;-6611726.0131;
2134;518423;-7175195.5143;21474126.3781;20253640.8564;5170702.0382;2870929.1872;15710188.6004;15352188.9878;13585765.4833;-6614714.6178;
2134;518424;-7172197.6507;21473535.3968;20254836.2084;5173713.4308;2874078.6488;15708053.5153;15354494.5783;13583216.8803;-6617703.0859;
2134;518425;-7169199.6364;21472943.9516;20256031.1297;5176724.7148;2877228.0493;15705918.0988;15356799.8337;13580667.9870;-6620691.4172;
2134;518426;-7166201.4714;21472352.0424;20257225.6204;5179735.8902;2880377.3887;15703782.3508;15359104.7541;13578118.8036;-6623679.6117;
2134;518427;-7163203.1558;21471759.6694;20258419.6806;5182746.9570;2883526.6669;15701646.2715;15361409.3392;13575569.3301;-6626667.6694;
2134;518428;-7160204.6898;21471166.8324;20259613.3100;5185757.9151;2886675.8839;15699509.8609;15363713.5892;13573019.5665;-6629655.5902;
2134;518429;-7157206.0732;21470573.5316;20260806.5088;5188768.7644;2889825.0395;15697373.1189;15366017.5039;13570469.5129;-6632643.3741;
2134;518430;-7154207.3063;21469979.7669;20261999.2769;5191779.5048;2892974.1337;15695236.0457;15368321.0833;13567919.1693;-6635631.0209;
2134;518431;-7151208.3890;21469385.5384;20263191.6143;5194790.1364;2896123.1664;15693098.6414;15370624.3273;13565368.5358;-6638618.5306;
2134;518432;-7148209.3215;21468790.8460;20264383.5209;5197800.6591;2899272.1376;15690960.9059;15372927.2359;13562817.6125;-6641605.9031;
2134;518433;-7145210.1037;21468195.6898;20265574.9967;5200811.0727;2902421.0472;15688822.8393;15375229.8090;13560266.3994;-6644593.1385;
2134;518434;-7142210.7359;21467600.0699;20266766.0418;5203821.3772;2905569.8952;15686684.4416;15377532.0467;13557714.8965;-6647580.2365;
2134;518435;-7139211.2179;21467003.9861;20267956.6560;5206831.5726;2908718.6814;15684545.7130;15379833.9487;13555163.1040;-6650567.1972;
2134;518436;-7136211.5499;21466407.4386;20269146.8393;5209841.6587;2911867.4058;15682406.6533;15382135.5152;13552611.0218;-6653554.0206;
2134;518437;-7133211.7320;21465810.4273;20270336.5918;5212851.6356;2915016.0683;15680267.2628;15384436.7460;13550058.6501;-6656540.7064;
2134;518438;-7130211.7642;21465212.9522;20271525.9133;5215861.5032;2918164.6689;15678127.5414;15386737.6411;13547505.9888;-6659527.2547;
2134;518439;-7127211.6466;21464615.0135;20272714.8040;5218871.2613;2921313.2075;15675987.4892;15389038.2004;13544953.0381;-6662513.6655;
2134;518440;-7124211.3792;21464016.6110;20273903.2637;5221880.9100;2924461.6841;15673847.1062;15391338.4239;13542399.7980;-6665499.9386;
2134;518441;-7121210.9621;21463417.7448;20275091.2924;5224890.4492;2927610.0985;15671706.3924;15393638.3116;13539846.2685;-6668486.0740;
2134;518442;-7118210.3953;21462818.4150;20276278.8901;5227899.8787;2930758.4507;15669565.3480;15395937.8633;13537292.4497;-6671472.0716;
2134;518443;-7115209.6790;21462218.6215;20277466.0567;5230909.1986;2933906.7406;15667423.9730;15398237.0791;13534738.3417;-6674457.9314;
2134;518444;-7112208.8132;21461618.3643;20278652.7923;5233918.4088;2937054.9682;15665282.2673;15400535.9588;13532183.9445;-6677443.6533;
2134;518445;-7109207.7980;21461017.6435;20279839.0968;5236927.5092;2940203.1334;15663140.2311;15402834.5025;13529629.2581;-6680429.2372;
2134;518446;-7106206.6334;21460416.4591;20281024.9702;5239936.4998;2943351.2361;15660997.8644;15405132.7101;13527074.2827;-6683414.6831;
2134;518447;-7103205.3194;21459814.8111;20282210.4125;5242945.3805;2946499.2763;15658855.1673;15407430.5816;13524519.0182;-6686399.9910;
2134;518448;-7100203.8562;21459212.6995;20283395.4236;5245954.1512;2949647.2539;15656712.1397;15409728.1168;13521963.4647;-6689385.1607;
2134;518449;-7097202.2438;21458610.1243;20284580.0036;5248962.8118;2952795.1688;15654568.7818;15412025.3157;13519407.6224;-6692370.1922;
2134;518450;-7094200.4823;21458007.0856;20285764.1523;5251971.3624;2955943.0210;15652425.0935;15414322.1784;13516851.4911;-6695355.0854;
2134;518451;-7091198.5717;21457403.5833;20286947.8698;5254979.8028;2959090.8104;15650281.0750;15416618.7047;13514295.0711;-6698339.8403;
